player_name,player_number,count,avg(spi_score)
Andres Jasson,21,1,6.5
Liam Fraser,18,3,6.5
Moses Nyeman,44,1,6.5
Luke Brennan,25,1,6.5
Philip Quinton,2,1,6.5
Kei Ansu Kamara,23,19,6.494736842105263
Keegan Rosenberry,2,16,6.4937499999999995
Latif Blessing,15,14,6.492857142857142
Niko Tsakiris,30,16,6.4875
Kyle Duncan,6,7,6.485714285714285
Brendan Hines-Ike,4,16,6.475
Fabrice Picault,11,20,6.475
Calvin Harris,14,15,6.473333333333333
Carlos Teran,4,7,6.471428571428571
Nikola Petkovic,23,6,6.466666666666668
Noah Cobb,24,6,6.466666666666668
Bobby Wood,17,9,6.466666666666665
Dru Yearwood,16,8,6.4624999999999995
Carlos Gruezo,7,13,6.461538461538462
Felipe,8,5,6.460000000000001
Kyle Smith,24,12,6.458333333333333
Andrés Cubas,20,18,6.45
Gyasi Zardes,9,12,6.45
Ian Harkes,14,12,6.45
Hector Jimenez,16,6,6.449999999999999
Jader Obrian,11,19,6.447368421052632
Lalas Abubakar,6,11,6.445454545454544
Matias Coccaro,9,9,6.444444444444444
Jasper Löffelsend,21,5,6.44
Brian White,24,20,6.4399999999999995
Josh Bauer,22,8,6.4375
Tomas Ostrak,7,3,6.433333333333334
Loic Mesanvi,90,3,6.433333333333333
Amahl Pellegrino,9,16,6.4312499999999995
Tobias Salquist,14,7,6.428571428571429
Jackson Hopkins,25,8,6.425
Jonathan Perez,24,7,6.414285714285713
Daniel Rosero,5,10,6.410000000000001
Ralph Priso-Mbongue,13,10,6.409999999999999
Omir Fernandez,11,17,6.405882352941176
Tomas Pondeca,35,2,6.4
Njabulo Blom,6,2,6.4
Giuseppe Bovalina,27,2,6.4
Kobe Franklin,19,7,6.4
Omar Gonzalez,3,4,6.4
Jordan Adebayo-Smith,99,1,6.4
Kévin Cabral,49,1,6.4
Eryk Williamson,19,13,6.392307692307693
Alenis Vargas,20,11,6.390909090909091
Tanner Beason,15,10,6.39
Luis Abram,4,10,6.39
Jacob Murrell,17,11,6.381818181818182
Fidel Barajas,17,5,6.380000000000001
Michael Boxall,15,21,6.376190476190475
Bernard Kamungo,77,18,6.372222222222223
Mitja Ilenic,35,17,6.370588235294117
Jacen Russell-Rowe,19,14,6.364285714285714
Deandre Kerr,29,8,6.3625
Robert Voloder,4,13,6.361538461538462
Yaw Yeboah,14,5,6.36
Edier Ocampo,18,7,6.3571428571428585
Kamal Miller,4,7,6.357142857142857
Jack Skahan,16,9,6.344444444444445
Ben Bender,15,3,6.333333333333333
Aime Mabika,6,3,6.333333333333333
Yohei Takaoka,1,20,6.33
Andreas Maxsø,5,17,6.329411764705883
Emmanuel Boateng,18,8,6.325
Tyler Wolff,28,4,6.325
Mauricio Cuevas,19,4,6.325
Jhojan Valencia,5,15,6.319999999999999
Deiber Caicedo,23,5,6.319999999999999
Gerardo Valenzuela,22,6,6.316666666666666
Agustin Ojeda,26,7,6.314285714285715
Ryan Sailor,15,4,6.300000000000001
Matt Polster,8,15,6.3
Jake Girdwood-Reich,3,4,6.3
Caden Clark,37,7,6.3
Jack Panayotou,22,1,6.3
Omari Glasgow,55,2,6.3
Erik Duenas,18,1,6.3
Nickseon Gomis,15,3,6.3
Chris Donovan,25,1,6.3
Randall Leal,8,2,6.3
Daniel Aguirre,37,2,6.3
Lawrence Ennali,37,1,6.3
Brad Smith,3,4,6.299999999999999
Danny Musovski,17,7,6.299999999999999
Samuel Adeniran,9,8,6.275
Amar Sejdic,6,4,6.275
Raoul Petretta,28,8,6.2749999999999995
Tom Barlow,12,7,6.271428571428572
Johnny Klein,41,3,6.266666666666667
Justin Reynolds,36,6,6.266666666666667
Edwin Mosquera,20,6,6.266666666666666
Kosi Thompson,47,8,6.2625
Xavier Arreaga,3,18,6.261111111111111
Dawid Bugaj,27,5,6.26
Nicholas Gioacchini,9,9,6.2555555555555555
Emiliano Ariel Rigoni,7,2,6.25
Zan Kolmanic,23,2,6.25
Dennis Gjengaar,2,6,6.25
Zack Steffen,95,17,6.241176470588236
Georgios Koutsias,19,10,6.24
Giacomo Vrioni,9,17,6.235294117647058
Wyatt Omsberg,16,3,6.233333333333333
Dante Sealy,11,3,6.233333333333333
Tim Parker,27,7,6.228571428571429
Arnaud Souquet,2,11,6.218181818181819
Eddie Segura,4,17,6.211764705882354
Nikolas Dyhr,44,2,6.2
Jakob Nerwinski,2,3,6.2
Cory Burke,7,6,6.2
Tyger Smalls,25,4,6.2
Kipp Keller,14,1,6.2
Reggie Cannon,4,11,6.2
Julian Hall,16,2,6.2
Caden Glover,46,1,6.2
Daniel Lovitz,2,14,6.2
Gabriel Segal,17,1,6.2
Derrick Jones,5,5,6.2
Isaac Boehmer,32,2,6.2
Jamie Paterson,7,2,6.2
Yutaro Tsukada,34,2,6.2
Mason Toye,13,3,6.2
Brandon Cambridge,36,2,6.2
Alec Kann,1,1,6.2
Michael Halliday,26,1,6.2
Marino Hinestroza,11,1,6.2
Bruno Wilson,4,9,6.199999999999999
Tate Schmitt,22,2,6.199999999999999
Julian Fernandez,11,9,6.166666666666668
Joe Willis,1,14,6.1642857142857155
McKinze Gaines,14,8,6.1625
Jovan Mijatovic,7,7,6.1571428571428575
Aljaz Ivacic,31,18,6.155555555555556
Jack Maher,5,12,6.150000000000001
Nathan Fogaca,99,2,6.15
Damir Kreilach,19,4,6.15
Thomas McNamara,26,2,6.15
Dominique Badji,23,11,6.145454545454545
Oleksandr Svatok,21,5,6.14
Garrison Tubbs,16,5,6.139999999999999
William Yarbrough,25,9,6.133333333333334
Dominik Yankov,8,4,6.125
Miguel Berry,27,9,6.111111111111111
Alfredo Morales,6,3,6.1000000000000005
Alejandro Bran,25,3,6.1000000000000005
Henry Wingo,30,4,6.1
Jonathan Lewis,7,11,6.081818181818182
David Romney,2,13,6.076923076923078
Monsef Bakrar,9,11,6.072727272727274
Daniel Munie,24,4,6.05
Preston Judd,19,4,6.05
Mauricio Pineda,22,6,6.05
Novak Micovic,35,2,6.05
Ethan Finlay,13,9,6.044444444444444
Eugene Ansah,31,10,6.04
John Pulskamp,1,8,6.012499999999999
Junior Moreno,24,1,6.0
Brandon Bye,15,9,6.0
Felipe Hernandez,21,1,6.0
Rida Zouhir,18,1,6.0
Zarek Valentin,3,1,6.0
Ryan Meara,18,1,6.0
